	Range Number		Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
2	2.547224	-41.142341	-19.297559	30.893188	277.564284	2.000000	-19.297559	-41.142341	2.547224	
3	3.485329	-40.627922	-18.571296	31.192779	280.255997	1.000000	-18.571296	-40.627922	3.485329	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 125 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	8.700491	-42.669799	-16.984654	36.324281	326.360714	2.000000	-16.984654	-42.669799	8.700491	
2	8.295315	-40.962610	-16.333648	34.830613	312.940643	1.000000	-16.333648	-40.962610	8.295315	
3	8.466797	-39.352744	-15.442973	33.813522	303.802440	1.000000	-15.442973	-39.352744	8.466797	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 160 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	10.711972	-47.593748	-18.440888	41.228370	370.422208	1.000000	-18.440888	-47.593748	10.711972	
2	12.042021	-44.901798	-16.429888	40.265361	361.769916	2.000000	-16.429888	-44.901798	12.042021	
3	12.407390	-44.040217	-15.816414	39.914486	358.617429	1.000000	-15.816414	-44.040217	12.407390	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 200 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	17.760533	-38.771260	-10.505364	39.974014	359.152265	1.000000	-10.505364	-38.771260	17.760533	
2	18.281622	-39.187292	-10.452835	40.636659	365.105895	1.000000	-10.452835	-39.187292	18.281622	
3	19.751250	-37.299208	-8.773979	40.340766	362.447400	1.000000	-8.773979	-37.299208	19.751250	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 250 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	24.995390	-33.552734	-4.278672	41.399776	371.962226	1.000000	-4.278672	-33.552734	24.995390	
2	25.106232	-33.428370	-4.161069	41.390214	371.876314	1.000000	-4.161069	-33.428370	25.106232	
3	24.593311	-33.109337	-4.258013	40.801934	366.590833	1.000000	-4.258013	-33.109337	24.593311	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 315 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	25.443697	-31.756754	-3.156528	40.446826	363.400318	1.000000	-3.156528	-31.756754	25.443697	
2	25.191178	-31.550748	-3.179785	40.122601	360.487266	1.000000	-3.179785	-31.550748	25.191178	
3	26.319617	-32.305677	-2.993030	41.454343	372.452493	1.000000	-2.993030	-32.305677	26.319617	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 400 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	25.578321	-31.811895	-3.116787	40.581011	364.605916	1.000000	-3.116787	-31.811895	25.578321	
2	24.236127	-32.883122	-4.323498	40.389408	362.884437	1.000000	-4.323498	-32.883122	24.236127	
3	25.671140	-32.306174	-3.317517	40.996152	368.335813	1.000000	-3.317517	-32.306174	25.671140	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 500 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	31.291378	-30.024970	0.633204	43.357205	389.549035	1.000000	0.633204	-30.024970	31.291378	
2	31.064360	-30.303488	0.380436	43.393621	389.876221	1.000000	0.380436	-30.303488	31.064360	
3	31.931125	-29.810358	1.060383	43.657821	392.249958	1.000000	1.060383	-29.810358	31.931125	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 630 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	34.931144	-27.548146	3.691499	44.179530	396.937331	1.000000	3.691499	-27.548146	34.931144	
2	36.273937	-26.352187	4.960875	44.283357	397.870176	1.000000	4.960875	-26.352187	36.273937	
3	35.915982	-26.172860	4.871561	43.903442	394.456772	1.000000	4.871561	-26.172860	35.915982	

			Mean	STD	95%CI	MDIX	Median	Min	Max	Outliers
Peak 795 Hz (dB)	1	2	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	(dB)	Indices
Channel Number 1 	30.201446	-26.966215	1.617616	40.423641	363.192005	1.000000	1.617616	-26.966215	30.201446	
